,City,Country,Lat,Lng,Max Temp (F),Cloudiness,Date,Humidity,Wind Speed
357,Slavsk,RU,55.0425,21.677,45.34,100,1666373650,60,8.32
358,Port Macquarie,AU,-31.4333,152.9167,64.89,99,1666373518,88,14.97
359,Svetlaya,RU,46.5389,138.3297,45.16,79,1666373650,85,4.54
360,Ilhéus,BR,-14.7889,-39.0494,81.0,36,1666373472,61,8.63
361,Sault Ste. Marie,CA,46.5168,-84.3333,57.76,0,1666373417,50,16.11
362,Shakiso,ET,5.75,38.9167,59.14,91,1666373651,97,2.55
363,Puerto Nariño,CO,-3.7703,-70.3831,85.95,98,1666373651,68,3.6
364,Manavgat,TR,36.7867,31.4431,69.26,0,1666373652,42,7.11
365,Viedma,AR,-40.8135,-62.9967,56.7,90,1666373652,34,16.53
366,Latung,PH,5.5,120.8833,83.07,100,1666373652,74,3.87
367,Samfya,ZM,-11.3649,29.5565,83.01,43,1666373653,26,9.62
368,Yulara,AU,-25.2406,130.9889,72.91,53,1666373653,23,1.45
369,Ahome,MX,25.9167,-109.1833,82.35,10,1666373561,44,3.02
370,General Salgado,BR,-20.6483,-50.3606,81.77,100,1666373653,53,16.13
371,Oussouye,SN,12.485,-16.5469,89.78,66,1666373654,74,8.88
372,Ilulissat,GL,69.2167,-51.1,41.02,100,1666373654,81,11.5
373,Örebro,SE,59.2741,15.2066,46.92,40,1666373655,87,10.36
374,Raudeberg,NO,61.9875,5.1352,41.67,100,1666373655,48,2.84
375,Taoudenni,ML,22.6783,-3.9836,90.36,71,1666373655,11,11.03
376,Omboué,GA,-1.5746,9.2618,77.22,67,1666373655,85,8.39
377,Virbalis,LT,54.6267,22.8169,44.83,100,1666373656,63,9.44
378,Vuktyl,RU,63.8567,57.3094,31.05,100,1666373656,95,13.73
379,Show Low,US,34.2542,-110.0298,66.49,0,1666373657,43,10.36
380,Dingcheng,CN,32.1272,115.0394,63.63,0,1666373657,40,0.63
381,Coyhaique,CL,-45.5752,-72.0662,53.55,0,1666373657,32,9.22
382,Bundaberg,AU,-24.85,152.35,70.09,75,1666373624,99,18.41
383,Birao,CF,10.2849,22.7882,77.58,86,1666373658,63,4.59
384,Aksarka,RU,66.5606,67.7975,28.67,100,1666373658,95,7.09
385,Evensk,RU,61.95,159.2333,10.42,78,1666373658,75,8.81
386,Natal,BR,-5.795,-35.2094,83.01,22,1666373427,57,14.14
387,Tessalit,ML,20.1986,1.0114,86.92,94,1666373659,12,7.14
388,Olinda,BR,-8.0089,-34.8553,82.13,40,1666373659,65,8.05
389,Inhambane,MZ,-23.865,35.3833,75.18,20,1666373659,78,4.61
390,São José da Coroa Grande,BR,-8.8978,-35.1478,80.42,29,1666373660,66,9.31
391,Sur,OM,22.5667,59.5289,80.11,0,1666373660,52,5.23
392,Nioro,GM,13.35,-15.75,87.1,53,1666373660,65,1.48
393,Skjervøy,NO,70.0311,20.9714,37.4,100,1666373662,71,12.64
394,Lhokseumawe,ID,5.1801,97.1507,77.81,100,1666373667,85,2.71
395,Oga,IT,46.4631,10.347,48.81,100,1666373667,96,4.68
396,Angoche,MZ,-16.2325,39.9086,76.91,1,1666373668,79,13.65
397,Harper,LR,4.375,-7.7169,78.55,88,1666373668,83,5.75
398,Dapitan,PH,8.6464,123.4208,80.51,93,1666373668,85,8.93
399,Chengzhong,CN,30.95,113.55,63.82,3,1666373669,41,4.03
400,Nova Viçosa,BR,-17.8919,-39.3719,80.42,90,1666373638,65,15.21
401,Ejido,VE,8.5514,-71.2375,73.96,65,1666373669,87,4.27
402,La Cumbre,AR,-30.982,-64.4914,78.19,0,1666373669,23,2.89
403,Jacareacanga,BR,-6.2222,-57.7528,96.53,93,1666373670,40,1.83
404,Terney,RU,45.0503,136.6092,49.73,26,1666373670,75,4.63
405,Burnie,AU,-41.0667,145.9167,59.94,100,1666373576,99,5.59
406,Half Moon Bay,US,37.4636,-122.4286,66.06,100,1666373670,87,5.75
407,Kangaatsiaq,GL,68.3065,-53.4641,37.36,100,1666373671,92,13.73
408,Cocobeach,GA,1.0002,9.5823,78.98,23,1666373671,82,6.58
409,Nizwá,OM,22.9333,57.5333,77.5,0,1666373671,19,3.22
410,Province of Mantua,IT,45.1667,10.7833,65.44,100,1666373672,86,5.01
411,Jiwani,PK,25.05,61.7417,81.18,0,1666373672,68,6.71
412,Sochi,RU,43.6,39.7303,48.29,8,1666373673,73,5.95
413,Marathon,US,44.9,-89.7668,63.64,0,1666373674,43,14.97
414,Dingli,MT,35.8614,14.3822,69.82,2,1666373674,63,5.53
415,Bac Lieu,VN,9.285,105.7244,78.98,74,1666373674,86,10.47
416,Flinders,AU,-34.5833,150.8552,66.18,98,1666373675,91,5.99
417,Nanga Eboko,CM,4.6833,12.3667,67.39,97,1666373675,99,1.88
418,Wattegama,LK,6.7989,81.4808,74.71,100,1666373675,93,1.97
419,Maroantsetra,MG,-15.4333,49.7333,68.85,8,1666373676,83,2.89
420,Nevers,FR,46.9896,3.159,65.95,0,1666373676,82,2.3
421,Aykhal,RU,66.0,111.5,23.56,100,1666373676,91,16.28
422,Coffeyville,US,37.0373,-95.6164,78.66,0,1666373677,27,17.27
423,Adrar,MR,20.5022,-10.0711,91.53,95,1666373677,11,11.48
424,Dillon,US,34.4166,-79.3712,73.26,0,1666373677,28,2.84
425,Tahe,CN,52.3333,124.7333,30.2,100,1666373678,68,4.97
426,Arcata,US,40.8665,-124.0828,55.26,100,1666373678,80,3.44
427,Vestmannaeyjar,IS,63.4427,-20.2734,45.59,75,1666373678,76,5.75
428,San Patricio,US,28.017,-97.5169,82.08,0,1666373679,38,11.01
429,Zyryanka,RU,65.75,150.85,9.39,100,1666373679,87,4.41
430,Maniitsoq,GL,65.4167,-52.9,37.11,100,1666373679,95,33.46
431,Shar,KZ,49.5886,81.0453,51.39,95,1666373680,47,16.49
432,Bougouni,ML,11.417,-7.479,84.15,50,1666373680,48,2.91
433,Hobyo,SO,5.3505,48.5268,78.58,40,1666373680,82,14.52
434,Gigmoto,PH,13.7796,124.39,80.78,98,1666373681,86,5.46
435,Lianzhou,CN,24.7811,112.3825,69.66,14,1666373682,46,3.44
436,Bayan,CN,46.0833,127.4,38.37,84,1666373682,66,9.35
437,Carutapera,BR,-1.195,-46.02,86.14,95,1666373682,60,8.52
438,Saint Anthony,US,45.0205,-93.218,65.89,0,1666373683,43,10.36
439,Lake Charles,US,30.2131,-93.2044,82.38,0,1666373507,53,14.97
440,Fare,PF,-16.7,-151.0167,79.25,0,1666373683,76,17.52
441,Nadym,RU,65.5333,72.5167,30.9,100,1666373683,96,9.84
442,Eureka,US,40.8021,-124.1637,55.26,26,1666373684,61,1.01
443,Gambēla,ET,8.25,34.5833,71.65,52,1666373684,94,3.83
444,Huarmey,PE,-10.0681,-78.1522,67.75,76,1666373684,68,10.6
445,Samarai,PG,-10.6167,150.6667,80.64,69,1666373685,79,2.71
446,Gushikawa,JP,26.3544,127.8686,78.03,100,1666373685,100,8.05
447,Mujiayingzi,CN,42.1167,118.7833,41.68,50,1666373685,57,3.69
448,Pangoa,PE,-12.1167,-73.0,81.41,100,1666373689,78,2.48
449,Kumul,CN,42.8,93.45,47.64,0,1666373689,36,1.88
450,Prijepolje,RS,43.3719,19.6406,53.82,85,1666373689,49,4.7
451,Champerico,GT,14.3,-91.9167,82.49,45,1666373690,73,2.82
452,Puerto Berrío,CO,6.4916,-74.4033,91.35,40,1666373690,48,3.58
453,Cairns,AU,-16.9167,145.7667,75.07,100,1666373690,97,9.22
454,Konstantinovskoye,RU,45.2992,42.6367,45.18,63,1666373691,55,11.14
455,Korla,CN,41.7597,86.1469,51.46,0,1666373691,31,4.72
456,Praia,CV,14.9215,-23.5087,88.34,0,1666373691,48,9.22
457,Hofn,IS,64.2539,-15.2082,41.02,75,1666373692,81,3.44
458,Roebourne,AU,-20.7833,117.1333,75.81,0,1666373692,64,13.06
459,Poya,NC,-21.35,165.15,71.46,100,1666373692,80,6.89
460,Horki,BY,54.2861,30.9842,40.53,100,1666373693,79,4.43
461,Boralday,KZ,43.3578,76.8594,55.6,37,1666373693,34,3.8
462,Ulaangom,MN,49.9811,92.0667,34.2,68,1666373694,70,1.07
463,Margate,GB,51.3813,1.3862,64.9,54,1666373694,78,7.0
464,Zapolyarnyy,RU,69.4154,30.8136,29.48,100,1666373694,76,12.44
465,Wajima,JP,37.4,136.9,66.69,85,1666373694,74,18.59
466,Sturgeon Falls,CA,46.3646,-79.9326,53.89,100,1666373413,59,15.32
467,Leirvik,NO,59.7798,5.5005,52.21,75,1666373695,62,13.8
468,Northam,GB,51.0333,-4.2167,59.4,90,1666373696,96,15.59
469,Ankang,CN,32.68,109.0172,60.46,12,1666373696,75,0.69
470,Banjar,ID,-8.19,114.9675,77.86,100,1666373696,86,1.99
471,Pindiga,NG,9.9833,10.9333,80.87,96,1666373696,33,4.68
472,Pozoblanco,ES,38.3791,-4.8483,61.48,100,1666373697,73,4.54
473,Camacha,PT,33.0833,-16.3333,67.42,20,1666373697,78,3.44
474,Rāmpura,IN,30.25,75.2333,72.75,0,1666373697,47,6.24
475,Kinablangan,PH,7.6947,126.5503,78.66,98,1666373698,85,4.47
476,Meulaboh,ID,4.1363,96.1285,74.95,100,1666373698,87,2.73
477,Kaeo,NZ,-35.1,173.7833,55.33,51,1666373698,95,10.18
478,Kawhia,NZ,-38.0651,174.8183,44.17,22,1666373699,82,5.19
479,Belmonte,BR,-15.8631,-38.8828,79.79,93,1666373699,66,10.09
480,Lebu,CL,-37.6167,-73.65,53.33,0,1666373646,60,18.7
481,Ternate,ID,0.8,127.4,81.46,78,1666373700,78,2.62
482,Inverness,GB,57.4791,-4.224,53.8,100,1666373598,98,3.44
483,General Roca,AR,-39.0333,-67.5833,53.67,99,1666373700,52,5.17
484,Shitanjing,CN,39.2342,106.3439,45.1,9,1666373700,34,3.83
485,Acaraú,BR,-2.8856,-40.12,85.41,82,1666373701,60,21.12
486,Maltahöhe,NA,-24.8333,16.9833,74.3,96,1666373701,41,10.96
487,Pandan Niog,PH,6.2282,120.5631,83.01,83,1666373702,74,1.05
488,Itacoatiara,BR,-3.1431,-58.4442,97.03,97,1666373449,39,3.22
489,Hudson Bay,CA,52.85,-102.3842,48.99,97,1666373702,49,9.64
490,Liuzhou,CN,24.3126,109.3892,76.01,75,1666373703,51,4.88
491,Atherton,GB,53.5237,-2.4935,59.22,98,1666373703,88,1.01
492,Saint-Joseph,RE,-21.3667,55.6167,70.18,37,1666373703,83,10.04
493,Barra do Garças,BR,-15.89,-52.2567,79.38,100,1666373704,78,11.5
494,Magadan,RU,59.5667,150.8,17.94,71,1666373704,68,11.23
495,Taraz,KZ,42.9,71.3667,48.61,32,1666373704,57,4.47
496,Dori,BF,14.0354,-0.0345,92.52,46,1666373705,16,3.91
497,Wanning,CN,18.8003,110.3967,75.72,99,1666373705,92,8.55
498,Alofi,NU,-19.0595,-169.9187,69.69,59,1666373706,100,3.44
499,Harrison,US,30.4091,-89.0436,75.76,0,1666373496,47,8.05
500,Hokitika,NZ,-42.7167,170.9667,50.67,85,1666373706,79,3.22
501,Portobelo,PA,9.55,-79.65,88.11,57,1666373707,75,3.53
502,Mbengwi,CM,6.0167,10.0,64.47,100,1666373707,93,0.94
503,Carlisle,US,40.2015,-77.1889,64.08,25,1666373707,29,1.01
504,Marzuq,YE,14.4,46.4667,70.95,0,1666373708,53,4.74
505,Aras,ES,42.5617,-2.356,61.23,75,1666373708,63,8.05
506,Iquique,CL,-20.2208,-70.1431,64.44,3,1666373502,66,6.33
507,Weligama,LK,5.9667,80.4167,76.42,100,1666373709,89,8.08
508,Kholodnyy,RU,62.7167,147.95,-10.75,22,1666373709,95,2.19
509,Vanimo,PG,-2.6741,141.3028,77.77,100,1666373710,86,4.25
510,Abu Kamal,SY,34.4506,40.9171,73.11,95,1666373710,50,3.24
511,Salalah,OM,17.0151,54.0924,80.69,20,1666373711,69,3.44
512,Launceston,AU,-41.45,147.1667,63.16,100,1666373712,94,4.61
513,Grindavik,IS,63.8424,-22.4338,40.95,0,1666373712,81,12.66
514,Port Pirie,AU,-33.1833,138.0167,58.89,6,1666373712,91,1.43
515,Cerro Azul,MX,21.2,-97.7333,75.7,89,1666373713,74,5.53
516,Boddam,GB,57.4667,-1.7833,53.98,100,1666373713,94,14.23
517,Verkhoyansk,RU,67.5447,133.385,-8.07,70,1666373714,100,1.39
518,Winneba,GH,5.3511,-0.6231,78.57,25,1666373714,85,11.39
519,Norrtälje,SE,59.758,18.705,49.01,100,1666373480,89,1.83
520,Mugur-Aksy,RU,50.35,90.5,29.26,46,1666373714,68,5.48
521,Mangaratiba,BR,-22.9597,-44.0406,83.26,97,1666373715,83,1.74
522,Laguna,US,38.421,-121.4238,82.98,0,1666373715,60,3.44
523,Hay River,CA,60.8156,-115.7999,37.38,100,1666373715,87,4.61
524,Flin Flon,CA,54.7682,-101.865,42.64,40,1666373716,56,13.8
525,Mahenge,TZ,-8.6833,36.7167,73.18,51,1666373716,40,8.5
526,Cururupu,BR,-1.8283,-44.8683,85.28,87,1666373716,64,6.96
527,Piaçabuçu,BR,-10.4056,-36.4344,81.05,44,1666373717,64,11.03
528,Ulladulla,AU,-35.35,150.4667,61.7,91,1666373717,97,5.39
529,Alugan,PH,12.2188,125.4808,81.3,97,1666373717,81,6.42
530,Mount Isa,AU,-20.7333,139.5,75.42,0,1666373718,31,8.05
531,Marabu,MY,4.4148,114.0089,78.94,40,1666373718,94,10.36
532,Antofagasta,CL,-23.65,-70.4,63.68,38,1666373687,63,7.83
533,Warren,US,39.4334,-84.1666,69.04,0,1666373716,33,16.11
534,Øystese,NO,60.3882,6.1925,49.57,99,1666373719,73,6.22
535,Mounana,GA,-1.4085,13.1586,72.27,100,1666373719,89,1.99
536,Santa Cecília,BR,-26.9608,-50.4269,65.71,43,1666373719,71,7.99
537,Tibiao,PH,11.2915,122.0354,79.81,89,1666373720,81,3.49
538,Port Lincoln,AU,-34.7333,135.8667,56.91,80,1666373721,84,3.51
539,Chimbote,PE,-9.0853,-78.5783,66.07,89,1666373544,71,10.0
540,Şırnak,TR,37.5228,42.4594,51.87,100,1666373721,75,5.46
541,Lagos,NG,6.5833,3.75,84.52,57,1666373721,87,3.58
542,Catuday,PH,16.2923,119.8062,78.71,98,1666373722,80,1.99
543,Sibolga,ID,1.7427,98.7792,75.81,100,1666373722,90,3.49
544,Nanortalik,GL,60.1432,-45.2371,39.63,100,1666373722,91,17.18
545,Neepawa,CA,50.2289,-99.4664,50.4,73,1666373723,34,12.68
546,Jalu,LY,29.0331,21.5482,74.17,62,1666373723,41,8.79
547,Sohag,EG,26.557,31.6948,77.5,0,1666373724,33,10.22
